Year,Real GDP,GDP Growth Rate,Population,Population Growth Rate,Exchange Rates,Exchange Rates Growth Rate,Real GDP per capita,Real GDP per capita growth rate,GDP deflator,GDP deflator growth rates,CPI,CPI Growth Rate,Real GDP Growth Rate
1989,0.1545553145336226,0.9157792836398838,0.9548613312530496,0.8979488819862502,0.4512360128279474,0.34414237315611834,0.12454654548146668,0.8517967781908304,6.417249566835655e-05,0.010280373831775701,0.1478414686945196,0.0855970039746285,0.9096092860641501
1990,0.12255965292841647,0.4457889641819942,1.0,0.8400290749843724,0.4393224436696072,0.3438751223725527,0.08784492242850181,0.38711276332094186,0.0,0.008453695836873408,0.16630656180844697,0.08437239491601188,0.44749081524862444
1991,0.036876355748373085,0.0,0.9413064072560009,0.24688595819448395,0.5724521907528441,0.5922084856913988,0.008537943834482004,0.0,0.005518834627478661,0.1611299915038233,0.027140941311705725,0.01759782005172876,0.0
1992,0.02114967462039044,0.5036302032913843,0.8411173991305811,0.0,0.9999999999999998,1.0,0.0,0.56183395291202,0.05454662131810306,1.0,0.09125742384571173,0.23358541809607153,0.5034930474433711
1993,0.04067245119305857,0.9090029041626331,0.8358551262366616,0.5484061136573989,0.6514161220043573,0.0,0.020581282637103793,0.9001239157372988,0.14265545787075656,0.544052676295667,0.16993422313046808,0.13520375710536853,0.9065814008167108
1994,0.059110629067245124,0.8785091965150048,0.8770905061319674,0.8275745656398487,0.4081336238198983,0.028441993623541162,0.03617650249044885,0.8252788104089221,0.19938394404158377,0.1625318606627018,0.20857015135066093,0.09149830452601894,0.8747379288969619
1995,0.09164859002169196,1.0,0.9202692607733254,0.8355046747459511,0.3527475187605907,0.265575452251108,0.06491523176755579,0.9467162329615864,0.2207533850991465,0.05263381478334749,0.22491857717606487,0.08115897349232001,1.0
1996,0.11659436008676788,0.8978702807357212,0.9620265493474762,0.8234142356818086,0.3759380295328007,0.4081388844750473,0.0857375533513883,0.8453531598513013,0.31097991400885583,0.1724299065420561,0.2537199054856632,0.08461738240810346,0.8949341081756094
1997,0.08405639913232105,0.4133591481122943,0.9820713342576997,0.6951614890632478,0.45311062696683607,0.5066366288128994,0.051570282652599136,0.37273853779429994,0.3476865815311557,0.05802888700084962,0.3383357813398046,0.09892754051103336,0.4141541241120674
1998,0.1073752711496746,0.8913359148112294,0.9704533530335482,0.5136220336116709,0.3210844831759864,0.14123829279154784,0.07585839994903751,0.8877323420074351,0.37213630238079953,0.03887000849617672,0.40839134044319564,0.09014206775396295,0.8864779843312975
1999,0.14479392624728854,0.989593417231365,0.9470758871758398,0.44596283300570505,0.26855482933914315,0.25990167506086315,0.1153939523328266,1.0000000000000002,0.38028620933068086,0.019201359388275274,0.40998786640270773,0.07598012335705079,0.986614629241414
2000,0.16757049891540132,0.845837366892546,0.9204511937282747,0.42613365014720783,0.3236020334059549,0.4812773683014041,0.14125226619652595,0.8547707558859977,0.4026182378232689,0.0342820730671198,0.4101794495178492,0.07574001693915383,0.8434546173897092
